Index	N_planet	M_planet_1	M_planet_2	M_planet_3	M_planet_4	sma_1	sma_2	sma_3	sma_4	R_in	R_out	M_star	age_star	R_star	T_star	q	density_profile	sound_speed_profile	inc	az	dist	spatial_resolution	spectral_resolution	beam_angle	rms_noise	position_angle	viscosity	dust	dust_to_gas	dust_mass
1000	3	0.042814	0.346831	0.191529	0.000000	117.227093	111.282547	54.428512	0.000000	17.634284	176.342840	1.462878	0.818611	3.403486	4504.134428	0.009453	0.463915	0.600537	17.404193	317.273628	132.793840	0.447783	0.118507	69.586859	13.187459	135.868023	0.002009	0.000000	0.010000	0.001000
1001	4	0.016285	0.236764	0.350023	0.174590	144.906190	167.817062	72.275288	105.915087	23.884004	238.840038	1.922507	4.308309	2.424368	5141.146290	0.003710	0.679578	0.104299	56.984611	185.064807	184.355659	0.436177	0.174544	14.809735	9.988289	83.617249	0.001254	0.000000	0.010000	0.001000
1002	3	0.253536	0.058702	0.368614	0.000000	63.071839	119.381704	142.794933	0.000000	20.047547	200.475467	0.741507	1.618190	1.995145	4055.080009	0.007006	0.686975	0.160155	16.416797	291.923394	110.577412	0.118418	0.054755	29.488389	3.867451	149.524996	0.001089	0.000000	0.010000	0.001000
1003	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	17.547652	175.476519	1.360566	2.997325	1.989810	4508.648835	0.002554	0.495154	0.580505	51.295738	133.919166	160.675348	0.236816	0.174160	36.138942	1.151308	91.619787	0.001065	0.000000	0.010000	0.001000
1004	4	0.325309	0.284908	0.117673	0.055835	70.471547	123.883226	52.614294	100.144293	16.076184	160.761841	0.997680	3.162004	1.688856	4258.689943	0.000885	0.134426	0.737829	22.589861	251.680469	124.083750	0.193459	0.136244	20.340691	15.572459	0.734103	0.000876	0.000000	0.010000	0.001000
1005	1	0.176148	0.000000	0.000000	0.000000	127.674571	0.000000	0.000000	0.000000	19.072053	190.720530	1.909507	1.051430	3.414709	4692.756506	0.009398	0.918357	0.423061	35.005505	52.360802	168.002479	0.318088	0.166478	7.756955	14.448787	63.763682	0.002315	0.000000	0.010000	0.001000
1006	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	23.068901	230.689005	1.288283	0.795425	3.298451	4425.584663	0.009054	0.998160	0.494475	24.801146	173.374954	100.024140	0.289138	0.039292	64.004607	16.461169	130.408211	0.001411	0.000000	0.010000	0.001000
1007	2	0.038137	0.370826	0.000000	0.000000	121.914549	60.654884	0.000000	0.000000	16.446342	164.463418	1.358151	2.736134	2.049377	4501.658271	0.009322	0.713466	0.491217	64.429169	19.772341	125.088294	0.448717	0.097194	67.828089	14.208426	80.661756	0.000989	0.000000	0.010000	0.001000
1008	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	24.563012	245.630117	1.910602	0.868351	3.785176	4665.434176	0.004134	0.147367	0.554990	27.616716	0.726652	186.016808	0.354000	0.181449	16.332668	7.516953	125.332118	0.000783	0.000000	0.010000	0.001000
1009	1	0.148736	0.000000	0.000000	0.000000	134.979002	0.000000	0.000000	0.000000	24.364919	243.649192	0.830433	3.870071	1.451513	4104.030975	0.004086	0.534280	0.373695	28.109724	21.939220	134.441941	0.053456	0.027927	11.437991	14.188520	26.460026	0.002417	0.000000	0.010000	0.001000
1010	3	0.137323	0.326793	0.071121	0.000000	191.330225	118.663053	76.814192	0.000000	24.508224	245.082237	1.530062	4.344674	1.915937	4697.376205	0.001877	0.237516	0.164747	71.966842	53.272621	147.661872	0.171749	0.105551	22.551596	7.033057	72.944102	0.002487	0.000000	0.010000	0.001000
1011	4	0.176022	0.283179	0.353713	0.058676	62.075718	146.285337	90.668846	112.234490	20.348288	203.482876	1.886130	1.593145	2.945391	4729.007340	0.001615	0.374942	0.529098	10.298559	159.032870	184.124243	0.113934	0.112879	15.841434	14.906560	141.998495	0.001951	0.000000	0.010000	0.001000
1012	4	0.043529	0.154368	0.233708	0.356597	65.198549	115.700962	50.072893	92.598176	15.118815	151.188147	1.459206	1.411125	2.665959	4538.652162	0.008603	0.984442	0.204463	60.692796	160.582133	169.327206	0.164283	0.123736	41.806827	13.901149	149.114137	0.001878	0.000000	0.010000	0.001000
1013	1	0.338803	0.000000	0.000000	0.000000	75.276515	0.000000	0.000000	0.000000	23.192934	231.929336	0.813264	0.827925	2.649652	4135.797615	0.000789	0.133526	0.700718	58.543218	60.842377	100.780003	0.112378	0.106165	54.968870	2.956261	123.865173	0.002081	0.000000	0.010000	0.001000
1014	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	17.040252	170.402521	0.881233	4.385561	1.427328	4143.010377	0.004191	0.932307	0.419781	27.972863	92.082649	113.015588	0.487497	0.025439	67.004885	18.849596	100.546958	0.001100	0.000000	0.010000	0.001000
1015	3	0.224213	0.335956	0.079131	0.000000	165.079627	93.609387	103.966419	0.000000	21.098901	210.989010	1.876570	2.972188	2.447672	4865.217517	0.003196	0.487051	0.605251	43.160126	330.308597	184.464286	0.303069	0.024960	64.885684	19.369722	128.027051	0.002278	0.000000	0.010000	0.001000
1016	3	0.246826	0.055285	0.346635	0.000000	49.724859	95.896021	106.282897	0.000000	15.259214	152.592135	1.057072	2.758709	1.818469	4302.285792	0.001555	0.818391	0.424346	47.640373	313.340197	154.578608	0.161839	0.195496	56.557336	6.803150	92.627128	0.002377	0.000000	0.010000	0.001000
1017	1	0.286115	0.000000	0.000000	0.000000	83.200341	0.000000	0.000000	0.000000	21.411363	214.113633	0.697051	3.877452	1.385907	3980.276642	0.004043	0.623523	0.199196	33.359632	343.986807	127.726476	0.439859	0.191529	4.404380	15.468054	126.686300	0.001809	0.000000	0.010000	0.001000
1018	1	0.351551	0.000000	0.000000	0.000000	87.567653	0.000000	0.000000	0.000000	20.426825	204.268250	0.906952	4.410482	1.444939	4166.121995	0.004405	0.265941	0.122711	68.501183	249.214093	144.895358	0.227950	0.068977	66.659789	10.474129	1.286350	0.001085	0.000000	0.010000	0.001000
1019	3	0.362595	0.031055	0.231960	0.000000	141.638542	107.093294	57.623922	0.000000	19.095869	190.958687	0.988192	3.804981	1.579793	4244.288434	0.006799	0.814152	0.702637	47.686425	28.535542	170.940068	0.142043	0.111108	88.075551	15.115069	70.113852	0.002272	0.000000	0.010000	0.001000
1020	4	0.044453	0.237366	0.355814	0.159775	56.569223	72.628803	107.890697	124.355748	16.795100	167.951004	1.097427	1.963164	2.084272	4341.667206	0.009943	0.481236	0.163303	67.215340	355.343984	128.986256	0.235321	0.034044	60.273310	19.153035	111.921473	0.002107	0.000000	0.010000	0.001000
1021	4	0.196280	0.275217	0.022077	0.364452	95.589888	53.529476	133.486400	115.486283	17.801789	178.017888	1.856140	2.962520	2.427598	4849.221223	0.008815	0.213702	0.137598	35.937502	131.493666	175.410223	0.066422	0.025999	77.761171	16.383524	41.125156	0.002169	0.000000	0.010000	0.001000
1022	4	0.051664	0.360691	0.253711	0.111412	138.135900	71.871563	109.874046	79.788192	18.170917	181.709175	1.810975	2.036235	2.647429	4730.323130	0.007199	0.806868	0.721780	65.307403	87.043235	120.126713	0.443404	0.102505	88.179497	10.987780	127.610886	0.001291	0.000000	0.010000	0.001000
1023	2	0.028344	0.376509	0.000000	0.000000	106.568253	57.238823	0.000000	0.000000	15.186014	151.860141	1.187291	2.338450	2.028099	4389.884900	0.002144	0.812987	0.425839	40.210048	312.775860	184.577286	0.330778	0.158471	45.835198	7.257804	149.271602	0.000538	0.000000	0.010000	0.001000
1024	1	0.096406	0.000000	0.000000	0.000000	120.884267	0.000000	0.000000	0.000000	23.148490	231.484900	1.826896	3.441759	2.321166	4883.348848	0.004269	0.193452	0.725422	50.096811	77.203236	104.271573	0.290121	0.091579	33.193117	8.333901	140.128268	0.000610	0.000000	0.010000	0.001000
1025	4	0.027677	0.113919	0.247878	0.358778	112.554478	59.478901	130.946457	79.350556	16.954321	169.543208	1.954363	2.137939	2.744804	4814.106428	0.004646	0.854137	0.578550	64.540887	333.086972	170.716982	0.480703	0.103756	55.832909	14.124325	99.895929	0.002070	0.000000	0.010000	0.001000
1026	1	0.090659	0.000000	0.000000	0.000000	108.315117	0.000000	0.000000	0.000000	16.264217	162.642170	0.774327	4.018779	1.404089	4051.693868	0.005975	0.779832	0.645502	78.127007	118.252129	106.052777	0.401350	0.186645	75.584814	8.751212	13.188122	0.002420	0.000000	0.010000	0.001000
1027	2	0.366417	0.116016	0.000000	0.000000	112.815037	47.942569	0.000000	0.000000	15.122449	151.224491	1.453856	0.575393	3.940210	4472.536331	0.008027	0.441069	0.504648	65.829591	232.506663	128.212109	0.498228	0.150413	52.013337	14.729144	22.870485	0.001154	0.000000	0.010000	0.001000
1028	1	0.349267	0.000000	0.000000	0.000000	80.500949	0.000000	0.000000	0.000000	24.616569	246.165685	0.815808	4.630469	1.355491	4080.815405	0.002228	0.173111	0.628879	16.156438	50.173740	167.990221	0.130726	0.115756	54.601505	6.699023	177.040632	0.001333	0.000000	0.010000	0.001000
1029	4	0.040848	0.134322	0.361137	0.283410	113.230297	54.852578	81.107551	123.990542	16.975435	169.754354	0.670073	2.990484	1.502002	3961.398772	0.008012	0.524127	0.467383	74.898991	63.105484	168.474249	0.161374	0.087790	43.218711	14.252438	157.241986	0.000583	0.000000	0.010000	0.001000
1030	4	0.074724	0.361018	0.122964	0.268572	142.207982	112.418332	74.468114	172.552723	21.826573	218.265730	1.539586	1.360964	2.786807	4572.542196	0.004387	0.285538	0.461660	57.812486	36.394001	188.942607	0.238350	0.087496	9.336490	2.926443	166.592561	0.000901	0.000000	0.010000	0.001000
1031	1	0.046466	0.000000	0.000000	0.000000	124.276166	0.000000	0.000000	0.000000	23.387969	233.879688	0.975711	3.912001	1.556269	4232.555119	0.003574	0.723096	0.726588	41.302142	55.973673	199.386671	0.225222	0.109507	1.538712	15.146508	155.024751	0.000758	0.000000	0.010000	0.001000
1032	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	21.873516	218.735160	1.603295	3.042823	2.175736	4678.018183	0.004572	0.467787	0.528037	13.036024	224.769680	121.133010	0.063580	0.075148	25.956360	11.761892	137.192833	0.001877	0.000000	0.010000	0.001000
1033	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	24.271579	242.715788	1.495456	1.758773	2.510088	4564.603538	0.002929	0.476986	0.494884	19.198894	282.911764	164.881250	0.281513	0.044995	47.063837	16.997424	101.684553	0.001292	0.000000	0.010000	0.001000
1034	2	0.276998	0.043023	0.000000	0.000000	130.670261	53.340236	0.000000	0.000000	16.531343	165.313427	0.877146	4.841543	1.377328	4136.259317	0.003700	0.360977	0.701458	66.294002	115.494279	115.208708	0.136312	0.029104	68.030213	16.129712	118.336866	0.001963	0.000000	0.010000	0.001000
1035	2	0.367516	0.031754	0.000000	0.000000	95.642772	178.437238	0.000000	0.000000	23.490308	234.903084	1.058498	0.579959	3.489890	4293.095947	0.000775	0.850532	0.146585	42.989471	356.201467	132.480221	0.079828	0.137124	5.308829	15.237936	130.578048	0.002059	0.000000	0.010000	0.001000
1036	1	0.140589	0.000000	0.000000	0.000000	102.073100	0.000000	0.000000	0.000000	22.629771	226.297710	0.779361	2.219110	1.742594	4081.819269	0.002340	0.725710	0.105526	36.335932	114.147815	143.666373	0.412147	0.196937	76.501022	10.234062	104.189499	0.002241	0.000000	0.010000	0.001000
1037	3	0.350804	0.249832	0.019783	0.000000	117.720690	51.466805	102.143634	0.000000	16.331785	163.317850	1.877273	2.120281	2.674514	4771.873437	0.002906	0.599078	0.729625	20.693025	129.274481	163.355413	0.299267	0.118797	79.037874	6.088101	162.681725	0.000764	0.000000	0.010000	0.001000
